nameOrig,avg_stress,max_stress,stressed_months
C1170022666,5.5,6,2
C1170262181,5.5,6,2
C1170411147,5.5,6,2
C1170419019,5.5,6,2
C1171274556,5.5,6,2
C117547114,5.5,6,2
C1175950296,5.5,6,2
C1176328073,5.5,6,2
C1180972596,5.5,6,2
C1182523157,5.5,6,2
C1184203875,5.5,6,2
C1185132425,5.5,6,2
C118898558,5.5,6,2
C1189216713,5.5,6,2
C1194120440,5.5,6,2
C119421067,5.5,6,2
C1197820528,5.5,6,2
C1197939193,5.5,6,2
C1197992762,5.5,6,2
C120081649,5.5,6,2
C120130589,5.5,6,2
C1203051306,5.5,6,2
C1203306864,5.5,6,2
C1204420970,5.5,6,2
C1204876831,5.5,6,2
C1205001567,5.5,6,2
C120720808,5.5,6,2
C1207273223,5.5,6,2
C1208098630,5.5,6,2
C1209030534,5.5,6,2
C120937041,5.5,6,2
C1212989930,5.5,6,2
C1214014963,5.5,6,2
C1216137912,5.5,6,2
C1219984824,5.5,6,2
C1221138730,5.5,6,2
C1222268052,5.5,6,2
C122588947,5.5,6,2
C1230574957,5.5,6,2
C1232937726,5.5,6,2
C1234355793,5.5,6,2
C1239118972,5.5,6,2
C1240343682,5.5,6,2
C1243099051,5.5,6,2
C1245695333,5.5,6,2
C124953027,5.5,6,2
C1255901219,5.5,6,2
C125668742,5.5,6,2
C1257025588,5.5,6,2
C1258665794,5.5,6,2
C1259337293,5.5,6,2
C1261551348,5.5,6,2
C1264023677,5.5,6,2
C1272971370,5.5,6,2
C1273166135,5.5,6,2
C1274407572,5.5,6,2
C1275840855,5.5,6,2
C1276100527,5.5,6,2
C1277492295,5.5,6,2
C1282505302,5.5,6,2
C128372682,5.5,6,2
C1283959942,5.5,6,2
C1284660974,5.5,6,2
C1286849685,5.5,6,2
C128773026,5.5,6,2
C1288555774,5.5,6,2
C1291974436,5.5,6,2
C1300953089,5.5,6,2
C1301118951,5.5,6,2
C1303849254,5.5,6,2
C1304355277,5.5,6,2
C130806437,5.5,6,2
C1312670841,5.5,6,2
C1314700099,5.5,6,2
C1316292253,5.5,6,2
C131806839,5.5,6,2
C1319865570,5.5,6,2
C1320481595,5.5,6,2
C1320830454,5.5,6,2
C1328964741,5.5,6,2
C1329192483,5.5,6,2
C1333721562,5.5,6,2
C1334796001,5.5,6,2
C1344706448,5.5,6,2
C1350752236,5.5,6,2
C135179328,5.5,6,2
C1352011779,5.5,6,2
C13537434,5.5,6,2
C135561390,5.5,6,2
C1356623182,5.5,6,2
C1358153086,5.5,6,2
C1361963254,5.5,6,2
C1364599229,5.5,6,2
C1370786038,5.5,6,2
C1371496818,5.5,6,2
C1373834487,5.5,6,2
C137463803,5.5,6,2
C1375771300,5.5,6,2
C1380611432,5.5,6,2
C138223943,5.5,6,2
C1382283317,5.5,6,2
C138272688,5.5,6,2
C1385518410,5.5,6,2
C1395873068,5.5,6,2
C1396858463,5.5,6,2
C1398623950,5.5,6,2
C13990716,5.5,6,2
C1402132103,5.5,6,2
C1406061613,5.5,6,2
C1408209930,5.5,6,2
C1417533825,5.5,6,2
C1418807844,5.5,6,2
C1423663301,5.5,6,2
C1426022390,5.5,6,2
C1426610543,5.5,6,2
C1426679482,5.5,6,2
C1427203364,5.5,6,2
C142721306,5.5,6,2
C1427237021,5.5,6,2
C1427658930,5.5,6,2
C1427859495,5.5,6,2
C1429488738,5.5,6,2
C1431123349,5.5,6,2
C1432269767,5.5,6,2
C1434470764,5.5,6,2
C1442417325,5.5,6,2
C1444343158,5.5,6,2
C1449325492,5.5,6,2
C1449873706,5.5,6,2
C1450089041,5.5,6,2
C1451420344,5.5,6,2
C1456478229,5.5,6,2
C1457081784,5.5,6,2
C1458032058,5.5,6,2
C146096440,5.5,6,2
C146357610,5.5,6,2
C1469653598,5.5,6,2
C147178890,5.5,6,2
C147804670,5.5,6,2
C1478153795,5.5,6,2
C1479464131,5.5,6,2
C1480548351,5.5,6,2
C1482353735,5.5,6,2
C1485690634,5.5,6,2
C1486174656,5.5,6,2
C1489232004,5.5,6,2
C1492936492,5.5,6,2
C1492962755,5.5,6,2
C1493903724,5.5,6,2
C1494691984,5.5,6,2
C1495753982,5.5,6,2
C149576761,5.5,6,2
C1498185758,5.5,6,2
C1498871174,5.5,6,2
C1500702169,5.5,6,2
C1501834824,5.5,6,2
C1501854241,5.5,6,2
C1506546183,5.5,6,2
C1507053585,5.5,6,2
C1507855514,5.5,6,2
C151117396,5.5,6,2
C151293987,5.5,6,2
C1513747186,5.5,6,2
C1517362891,5.5,6,2
C1519577654,5.5,6,2
C152423063,5.5,6,2
C1526023144,5.5,6,2
C1527160232,5.5,6,2
C1529213335,5.5,6,2
C1529294424,5.5,6,2
C1530447860,5.5,6,2
C1531193789,5.5,6,2
C1533871698,5.5,6,2
C1535262511,5.5,6,2
C153658127,5.5,6,2
C1540616028,5.5,6,2
C1540965635,5.5,6,2
C1541423836,5.5,6,2
C1544929798,5.5,6,2
C1547443899,5.5,6,2
C155209708,5.5,6,2
C1555086607,5.5,6,2
C1560393101,5.5,6,2
C1560992291,5.5,6,2
C1565205799,5.5,6,2
C1565210695,5.5,6,2
C1567201039,5.5,6,2
C1567934073,5.5,6,2
C1568244906,5.5,6,2
C1568369779,5.5,6,2
C1568634958,5.5,6,2
C1570853777,5.5,6,2
C1573323570,5.5,6,2
C157378990,5.5,6,2
C1574093939,5.5,6,2
C1575440282,5.5,6,2
C1575786747,5.5,6,2
C157875264,5.5,6,2
C1579345180,5.5,6,2
C1580433697,5.5,6,2
C1580939161,5.5,6,2
C1581161167,5.5,6,2
C1582125668,5.5,6,2
C1582929979,5.5,6,2
C1586134436,5.5,6,2
C1586875784,5.5,6,2
C1587062469,5.5,6,2
C1587892862,5.5,6,2
C158864017,5.5,6,2
C159971543,5.5,6,2
C1601797191,5.5,6,2
C1604096347,5.5,6,2
C1604544369,5.5,6,2
C1604877964,5.5,6,2
C1608696929,5.5,6,2
C1609486918,5.5,6,2
C1611452100,5.5,6,2
C1613193813,5.5,6,2
C1613461249,5.5,6,2
C161382220,5.5,6,2
C1613837471,5.5,6,2
C1616695020,5.5,6,2
C1623632214,5.5,6,2
C1623862133,5.5,6,2
C1627918307,5.5,6,2
C163217219,5.5,6,2
C1632899166,5.5,6,2
C1633525635,5.5,6,2
C1634036277,5.5,6,2
C1634254293,5.5,6,2
C1634455928,5.5,6,2
C1638143529,5.5,6,2
C1642603560,5.5,6,2
C1644259015,5.5,6,2
C1645047159,5.5,6,2
C1652119261,5.5,6,2
C1654077167,5.5,6,2
C1655691123,5.5,6,2
C1656518880,5.5,6,2
C1658904565,5.5,6,2
C1659411071,5.5,6,2
C1663399219,5.5,6,2
C1664955255,5.5,6,2
C1665792877,5.5,6,2
C1668688968,5.5,6,2
C1670552883,5.5,6,2
C1674410091,5.5,6,2
C1674581127,5.5,6,2
C1675093049,5.5,6,2
C1675873169,5.5,6,2
C1680697412,5.5,6,2
C1682931548,5.5,6,2
C1685215633,5.5,6,2
C1686657490,5.5,6,2
C169637300,5.5,6,2
C1696960476,5.5,6,2
C1697697307,5.5,6,2
C1698329792,5.5,6,2
C1698887340,5.5,6,2
C1699061885,5.5,6,2
C1702264172,5.5,6,2
C1705950813,5.5,6,2
C1706882975,5.5,6,2
C1708402552,5.5,6,2
C170843146,5.5,6,2
C1709294329,5.5,6,2
C1709877871,5.5,6,2
C1711568525,5.5,6,2
C1712263466,5.5,6,2
C1714129335,5.5,6,2
C1715662888,5.5,6,2
C1716237566,5.5,6,2
C1718461766,5.5,6,2
C1718888420,5.5,6,2
C1718937849,5.5,6,2
C1719443665,5.5,6,2
C1720476311,5.5,6,2
C1721717439,5.5,6,2
C172294369,5.5,6,2
C1727902553,5.5,6,2
C1729394025,5.5,6,2
C1730002269,5.5,6,2
C1731491964,5.5,6,2
C1732424225,5.5,6,2
C1732858164,5.5,6,2
C1735395780,5.5,6,2
C173838510,5.5,6,2
C1740286378,5.5,6,2
C1741076564,5.5,6,2
C1742761587,5.5,6,2
C1744229322,5.5,6,2
C1747615001,5.5,6,2
C1748954602,5.5,6,2
C1751826713,5.5,6,2
C1754978413,5.5,6,2
C1755239501,5.5,6,2
C1755335200,5.5,6,2
C1759720217,5.5,6,2
C1761144927,5.5,6,2
C1762746209,5.5,6,2
C176649287,5.5,6,2
C1770858197,5.5,6,2
C1773629985,5.5,6,2
C1775459867,5.5,6,2
C1776281597,5.5,6,2
C178845756,5.5,6,2
C1788519440,5.5,6,2
C1789828014,5.5,6,2
C1790707918,5.5,6,2
C1792636536,5.5,6,2
C1792932777,5.5,6,2
C1797685421,5.5,6,2
C1798087491,5.5,6,2
C1804228729,5.5,6,2
C180571855,5.5,6,2
C1807052879,5.5,6,2
C1808834208,5.5,6,2
C1809264741,5.5,6,2
C1812498636,5.5,6,2
C1815657868,5.5,6,2
C1816237736,5.5,6,2
C1816452778,5.5,6,2
C1819082708,5.5,6,2
C1825676648,5.5,6,2
C1827704540,5.5,6,2
C1827831859,5.5,6,2
C1829277697,5.5,6,2
C1829324181,5.5,6,2
C1830546331,5.5,6,2
C1836419515,5.5,6,2
C1836601408,5.5,6,2
C1836651658,5.5,6,2
C1837511542,5.5,6,2
C1842497014,5.5,6,2
C1850785952,5.5,6,2
C1851536059,5.5,6,2
C1852434822,5.5,6,2
C1854008477,5.5,6,2
C1854028112,5.5,6,2
C1855642435,5.5,6,2
C1856701439,5.5,6,2
C1860212100,5.5,6,2
C1866184525,5.5,6,2
C1869695579,5.5,6,2
C1875275906,5.5,6,2
C1878858989,5.5,6,2
C1880561124,5.5,6,2
C1882162040,5.5,6,2
C1882269124,5.5,6,2
C188370743,5.5,6,2
C188400406,5.5,6,2
C1884387397,5.5,6,2
C1885333477,5.5,6,2
C1888133239,5.5,6,2
C1892676257,5.5,6,2
C1896503845,5.5,6,2
C1899836785,5.5,6,2
C190120448,5.5,6,2
C1901905681,5.5,6,2
C1903421358,5.5,6,2
C1906170032,5.5,6,2
C1906181934,5.5,6,2
C190749754,5.5,6,2
C190838842,5.5,6,2
C1910840764,5.5,6,2
C1912085821,5.5,6,2
C1914256039,5.5,6,2
C191683152,5.5,6,2
C192578797,5.5,6,2
C1925997510,5.5,6,2
C1926025845,5.5,6,2
C1928194597,5.5,6,2
C1929179625,5.5,6,2
C1932348314,5.5,6,2
C1932432029,5.5,6,2
C1934858363,5.5,6,2
C1935005426,5.5,6,2
C1935167517,5.5,6,2
C1935481284,5.5,6,2
C1937148889,5.5,6,2
C1938412809,5.5,6,2
C1941037605,5.5,6,2
C1942179264,5.5,6,2
C1942961360,5.5,6,2
C194830111,5.5,6,2
C1949953744,5.5,6,2
C1950178421,5.5,6,2
C1954523120,5.5,6,2
C195485105,5.5,6,2
C1955921227,5.5,6,2
C1956538289,5.5,6,2
C1959234152,5.5,6,2
C196315367,5.5,6,2
C1965997499,5.5,6,2
C196695395,5.5,6,2
C1978304769,5.5,6,2
C1980711244,5.5,6,2
C198344877,5.5,6,2
C1985911080,5.5,6,2
C198592212,5.5,6,2
C1987962759,5.5,6,2
C1988205387,5.5,6,2
C1988597539,5.5,6,2
C1990399992,5.5,6,2
C1991548082,5.5,6,2
C1992448396,5.5,6,2
C1995120350,5.5,6,2
C1998340224,5.5,6,2
C1998580843,5.5,6,2
C1998690928,5.5,6,2
C2004363483,5.5,6,2
C2005562612,5.5,6,2
C2009865645,5.5,6,2
C2012867778,5.5,6,2
C2013962070,5.5,6,2
C2014805073,5.5,6,2
C2020264880,5.5,6,2
C202150140,5.5,6,2
C2021845836,5.5,6,2
C2022866240,5.5,6,2
C2027562179,5.5,6,2
C2027898335,5.5,6,2
C20316935,5.5,6,2
C2033950266,5.5,6,2
C2035921217,5.5,6,2
C2037274327,5.5,6,2
C2038973999,5.5,6,2
C2041331921,5.5,6,2
C2041919978,5.5,6,2
C2043435588,5.5,6,2
C204428666,5.5,6,2
C2046115372,5.5,6,2
C2046823616,5.5,6,2
C2053278656,5.5,6,2
C2053744507,5.5,6,2
C2054218084,5.5,6,2
C2054296545,5.5,6,2
C2056546616,5.5,6,2
C2061483829,5.5,6,2
C2063296720,5.5,6,2
C2064250760,5.5,6,2
C2067818060,5.5,6,2
C2070334046,5.5,6,2
C2072504322,5.5,6,2
C2075832182,5.5,6,2
C2076333612,5.5,6,2
C2078567682,5.5,6,2
C2080594594,5.5,6,2
C2081659110,5.5,6,2
C2084757566,5.5,6,2
C2085391816,5.5,6,2
C2094585930,5.5,6,2
C2096692767,5.5,6,2
C2096906760,5.5,6,2
C2098183268,5.5,6,2
C2099941310,5.5,6,2
C2102401176,5.5,6,2
C2103808417,5.5,6,2
C2103810641,5.5,6,2
C2103833406,5.5,6,2
C2109309980,5.5,6,2
C2111477047,5.5,6,2
C2117196179,5.5,6,2
C2118054032,5.5,6,2
C2119660447,5.5,6,2
C2122960533,5.5,6,2
C212458550,5.5,6,2
C2125564585,5.5,6,2
C2126715183,5.5,6,2
C2127359133,5.5,6,2
C2129095073,5.5,6,2
C2133141353,5.5,6,2
C2135469229,5.5,6,2
C2137389471,5.5,6,2
C2143917574,5.5,6,2
C2145262239,5.5,6,2
C217997019,5.5,6,2
C218520760,5.5,6,2
C2202535,5.5,6,2
C220401108,5.5,6,2
C221164708,5.5,6,2
C221557094,5.5,6,2
C224297139,5.5,6,2
C226212626,5.5,6,2
C228353749,5.5,6,2
C230811728,5.5,6,2
C23108631,5.5,6,2
C233078904,5.5,6,2
C235934604,5.5,6,2
C236613943,5.5,6,2
C245848341,5.5,6,2
C247400839,5.5,6,2
C256397271,5.5,6,2
C257315024,5.5,6,2
C257352944,5.5,6,2
C258970362,5.5,6,2
C261868582,5.5,6,2
C262992133,5.5,6,2
C267907733,5.5,6,2
C269195570,5.5,6,2
C273226580,5.5,6,2
C274847157,5.5,6,2
C276125972,5.5,6,2
C276596685,5.5,6,2
C279525445,5.5,6,2
C280804885,5.5,6,2
C282771165,5.5,6,2
C283180925,5.5,6,2
C286721853,5.5,6,2
C287123496,5.5,6,2
C28792357,5.5,6,2
C289747701,5.5,6,2
C290487997,5.5,6,2
C291338404,5.5,6,2
C291665611,5.5,6,2
C300300167,5.5,6,2
C303358402,5.5,6,2
C311524902,5.5,6,2
C311803110,5.5,6,2
C313836882,5.5,6,2
C314740639,5.5,6,2
C315400468,5.5,6,2
C315887679,5.5,6,2
C318249423,5.5,6,2
C319446815,5.5,6,2
C32179658,5.5,6,2
C324124707,5.5,6,2
C324565712,5.5,6,2
C325231342,5.5,6,2
C325826458,5.5,6,2
C32750880,5.5,6,2
C328351525,5.5,6,2
C328847325,5.5,6,2
C332942491,5.5,6,2
C333616461,5.5,6,2
C334897483,5.5,6,2
C335118233,5.5,6,2
C33594415,5.5,6,2
C337073949,5.5,6,2
C33728743,5.5,6,2
C338827366,5.5,6,2
C341236162,5.5,6,2
C342434412,5.5,6,2
C35005848,5.5,6,2
C353314090,5.5,6,2
C35512977,5.5,6,2
C361267772,5.5,6,2
C361885715,5.5,6,2
C36279171,5.5,6,2
C364245724,5.5,6,2
C366560983,5.5,6,2
C371791790,5.5,6,2
C372045487,5.5,6,2
C372341277,5.5,6,2
C375450542,5.5,6,2
C379021310,5.5,6,2
C382097040,5.5,6,2
C385076757,5.5,6,2
C385664922,5.5,6,2
C385839718,5.5,6,2
C38922950,5.5,6,2
C392958332,5.5,6,2
C395844218,5.5,6,2
C398006370,5.5,6,2
C39842434,5.5,6,2
C399772547,5.5,6,2
C400707971,5.5,6,2
C401303375,5.5,6,2
C401800067,5.5,6,2
C402179883,5.5,6,2
C40253038,5.5,6,2
C402582579,5.5,6,2
C404678747,5.5,6,2
C406091042,5.5,6,2
C406489421,5.5,6,2
C406954872,5.5,6,2
C408060345,5.5,6,2
C412323519,5.5,6,2
C414741810,5.5,6,2
C419511688,5.5,6,2
C423380954,5.5,6,2
C425048124,5.5,6,2
C427797126,5.5,6,2
C42793961,5.5,6,2
C430666307,5.5,6,2
C431000276,5.5,6,2
C435002653,5.5,6,2
C438795094,5.5,6,2
C440800749,5.5,6,2
C441369411,5.5,6,2
C44241163,5.5,6,2
C443558487,5.5,6,2
C443589367,5.5,6,2
C444456156,5.5,6,2
C445118210,5.5,6,2
C447031309,5.5,6,2
C453015699,5.5,6,2
C453107581,5.5,6,2
C45515177,5.5,6,2
C456873490,5.5,6,2
C458783252,5.5,6,2
C462097952,5.5,6,2
C465208083,5.5,6,2
C465731564,5.5,6,2
C466366148,5.5,6,2
C466408166,5.5,6,2
C466458724,5.5,6,2
C466794357,5.5,6,2
C467553488,5.5,6,2
C468293066,5.5,6,2
C46930731,5.5,6,2
C471710463,5.5,6,2
C472638499,5.5,6,2
C473570228,5.5,6,2
C474021223,5.5,6,2
C478585725,5.5,6,2
C479558429,5.5,6,2
C481205642,5.5,6,2
C481437630,5.5,6,2
C483009518,5.5,6,2
C484828041,5.5,6,2
C485696245,5.5,6,2
C487053628,5.5,6,2
C489361972,5.5,6,2
C49047855,5.5,6,2
C492784631,5.5,6,2
C497098812,5.5,6,2
C497209870,5.5,6,2
C497406158,5.5,6,2
C498537372,5.5,6,2
C502280501,5.5,6,2
C502370612,5.5,6,2
C503278016,5.5,6,2
C509430267,5.5,6,2
C510512793,5.5,6,2
C510677916,5.5,6,2
C512449874,5.5,6,2
C512937917,5.5,6,2
C513282214,5.5,6,2
C514997391,5.5,6,2
C515118379,5.5,6,2
C515827132,5.5,6,2
C518383312,5.5,6,2
C518757336,5.5,6,2
C519235966,5.5,6,2
C521434180,5.5,6,2
C523115011,5.5,6,2
C52360839,5.5,6,2
C524686882,5.5,6,2
C527984198,5.5,6,2
C530703385,5.5,6,2
C532654868,5.5,6,2
C532903401,5.5,6,2
C534450561,5.5,6,2
C535627658,5.5,6,2
C536876842,5.5,6,2
C538927192,5.5,6,2
C544539570,5.5,6,2
C54635434,5.5,6,2
C547306657,5.5,6,2
C548923318,5.5,6,2
C550200450,5.5,6,2
C551800041,5.5,6,2
C551831883,5.5,6,2
C55231477,5.5,6,2
C554505184,5.5,6,2
C554813786,5.5,6,2
C555328293,5.5,6,2
C556282163,5.5,6,2
C559974438,5.5,6,2
C561533333,5.5,6,2
C566267897,5.5,6,2
C568763776,5.5,6,2
C569333043,5.5,6,2
C569832019,5.5,6,2
C57225281,5.5,6,2
C572420902,5.5,6,2
C572902755,5.5,6,2
C573549281,5.5,6,2
C57490848,5.5,6,2
C575989991,5.5,6,2
C576171834,5.5,6,2
C578843102,5.5,6,2
C580355387,5.5,6,2
C580382654,5.5,6,2
C58156835,5.5,6,2
C583221116,5.5,6,2
C583993743,5.5,6,2
C591504790,5.5,6,2
C592527151,5.5,6,2
C599903462,5.5,6,2
C601482066,5.5,6,2
C601768975,5.5,6,2
C601788517,5.5,6,2
C603862980,5.5,6,2
C604843878,5.5,6,2
C609516253,5.5,6,2
C613232603,5.5,6,2
C61463231,5.5,6,2
C614844959,5.5,6,2
C617650655,5.5,6,2
C619489235,5.5,6,2
C620119406,5.5,6,2
C620410525,5.5,6,2
C624219547,5.5,6,2
C627681222,5.5,6,2
C628353088,5.5,6,2
C631063096,5.5,6,2
C63289660,5.5,6,2
C635739031,5.5,6,2
C638221342,5.5,6,2
C64050755,5.5,6,2
C640806491,5.5,6,2
C647150029,5.5,6,2
C648668885,5.5,6,2
C649956331,5.5,6,2
C651351765,5.5,6,2
C651729877,5.5,6,2
C651991200,5.5,6,2
C65420832,5.5,6,2
C65671443,5.5,6,2
C659263561,5.5,6,2
C659809405,5.5,6,2
C661209578,5.5,6,2
C663134626,5.5,6,2
C663188812,5.5,6,2
C665123501,5.5,6,2
C668820779,5.5,6,2
C669983239,5.5,6,2
C670304158,5.5,6,2
C671025830,5.5,6,2
C672045282,5.5,6,2
C672100539,5.5,6,2
C674914640,5.5,6,2
C67665558,5.5,6,2
C680841646,5.5,6,2
C686678171,5.5,6,2
C687597399,5.5,6,2
C688384856,5.5,6,2
C689292573,5.5,6,2
C689717539,5.5,6,2
C690062881,5.5,6,2
C690485439,5.5,6,2
C69372757,5.5,6,2
C701415732,5.5,6,2
C703487838,5.5,6,2
C704323260,5.5,6,2
C706464557,5.5,6,2
C706771032,5.5,6,2
C707329051,5.5,6,2
C710392289,5.5,6,2
C71203174,5.5,6,2
C715659490,5.5,6,2
C717026104,5.5,6,2
C724518950,5.5,6,2
C727066054,5.5,6,2
C728373196,5.5,6,2
C729432212,5.5,6,2
C730210360,5.5,6,2
C731829016,5.5,6,2
C732342038,5.5,6,2
C734793208,5.5,6,2
C737636826,5.5,6,2
C738183845,5.5,6,2
C742024395,5.5,6,2
C742746326,5.5,6,2
C742817703,5.5,6,2
C743395675,5.5,6,2
C745924269,5.5,6,2
C74640385,5.5,6,2
C747405268,5.5,6,2
C751509105,5.5,6,2
C753136718,5.5,6,2
C756421362,5.5,6,2
C758440922,5.5,6,2
C761733469,5.5,6,2
C763156609,5.5,6,2
C765653079,5.5,6,2
C767550148,5.5,6,2
C769997581,5.5,6,2
C770437804,5.5,6,2
C781656347,5.5,6,2
C782191917,5.5,6,2
C784788432,5.5,6,2
C784827259,5.5,6,2
C786410688,5.5,6,2
C788247672,5.5,6,2
C788453602,5.5,6,2
C788912671,5.5,6,2
C79252215,5.5,6,2
C794021336,5.5,6,2
C797454204,5.5,6,2
C797786391,5.5,6,2
C800121465,5.5,6,2
C800998684,5.5,6,2
C802432381,5.5,6,2
C80426193,5.5,6,2
C806335750,5.5,6,2
C807051536,5.5,6,2
C807114243,5.5,6,2
C807208144,5.5,6,2
C807221466,5.5,6,2
C809475691,5.5,6,2
C811350853,5.5,6,2
C811556554,5.5,6,2
C821145334,5.5,6,2
C822433032,5.5,6,2
C824465745,5.5,6,2
C825938473,5.5,6,2
C826248877,5.5,6,2
C830205242,5.5,6,2
C831429917,5.5,6,2
C832964251,5.5,6,2
C835179086,5.5,6,2
C835388838,5.5,6,2
C836124509,5.5,6,2
C83674771,5.5,6,2
C837065783,5.5,6,2
C839948344,5.5,6,2
C844722675,5.5,6,2
C848795434,5.5,6,2
C84922634,5.5,6,2
C850437455,5.5,6,2
C851241535,5.5,6,2
C852088752,5.5,6,2
C852268997,5.5,6,2
C853645762,5.5,6,2
C856713428,5.5,6,2
C857629973,5.5,6,2
C858333819,5.5,6,2
C859009546,5.5,6,2
C862903862,5.5,6,2
C868751497,5.5,6,2
C869021217,5.5,6,2
C872991287,5.5,6,2
C8737889,5.5,6,2
C877310705,5.5,6,2
C882869563,5.5,6,2
C883526597,5.5,6,2
C886572750,5.5,6,2
C886991481,5.5,6,2
C887510602,5.5,6,2
C890644684,5.5,6,2
C891798273,5.5,6,2
C892490567,5.5,6,2
C893098939,5.5,6,2
C895248037,5.5,6,2
C896074819,5.5,6,2
C899997038,5.5,6,2
C900522034,5.5,6,2
C904671559,5.5,6,2
C905543886,5.5,6,2
C906941844,5.5,6,2
C90842423,5.5,6,2
C911275089,5.5,6,2
C91194538,5.5,6,2
C912210297,5.5,6,2
C912608490,5.5,6,2
C916562847,5.5,6,2
C9169718,5.5,6,2
C917490222,5.5,6,2
C919205551,5.5,6,2
